('beetles',):2
('er',):11
('base',):13
('bright',):42
('image',):24
('dusty',):9
('mourning',):25
('between',):125
('attires',):1
('tale',):13
('bringing',):17
('halt',):7
('freshened',):1
('paler',):2
('firm',):15
('prudent',):7
('seas',):12
('ruler',):3
('southward',):3
('empty',):21
('save',):32
('smokeplume',):1
('vague',):6
('sail',):12
('tacking',):1
('muglins',):1
('theological',):2
('interpretation',):3
('somewhere',):52
('bemused',):1
('son',):108
('striving',):1
('atoned',):1
('blithe',):3
('broadly',):2
('wellshaped',):1
('happily',):3
('withdrawn',):2
('shrewd',):5
('sense',):26
('mad',):22
('gaiety',):11
('doll',):9
('brims',):1
('panama',):5
('quivering',):3
('quiet',):35
('happy',):31
('foolish',):4
('queerest',):1
('ever',):157
('jew',):30
('bird',):14
('joseph',):23
('joiner',):3
('cannot',):17
('agree',):13
('disciples',):1
('calvary',):2
('forefinger',):13
('warning',):7
('amn',):3
('divine',):11
('free',):62
('drinks',):8
('plain',):27
('becomes',):15
('tugged',):5
('swiftly',):13
('farewell',):11
('cliff',):5
('fluttered',):2
('fins',):1
('wings',):7
('rise',):16
('chanted',):2
('goodbye',):17
('write',):56
('tom',):43
('dick',):12
('harry',):22
('bred',):6
('bone',):11
('fail',):4
('fly',):17
('olivet',):1
('breezy',):1
('capered',):1
('fortyfoot',):2
('hole',):25
('fluttering',):4
('winglike',):1
('leaping',):11
('nimbly',):8
('mercury',):3
('fresh',):36
('bore',):27
('brief',):19
('birdsweet',):2
('cries',):21
('guardedly',):1
('oughtn',):3
('laugh',):36
('blasphemous',):1
('believer',):5
('takes',):38
('ballad',):8
('joking',):3
('meals',):7
('drily',):3
('narrow',):4
('creation',):9
('miracles',):2
('personal',):18
('seems',):31
('stopped',):35
('take',):136
('case',):81
('twinkled',):2
('sprang',):11
('thumb',):17
('offered',):17
('cigarette',):17
('sidepocket',):7
('waistcoatpocket',):2
('tinderbox',):1
('lit',):13
('flaming',):5
('spunk',):5
('shell',):14
('course',):161
('either',):36
('believe',):70
('personally',):7
('stomach',):13
('stand',):27
('behold',):6
('grim',):4
('displeasure',):1
('horrible',):5
('example',):23
('thought',):111
('waiting',):59
('trailing',):6
('side',):102
('ferrule',):1
('path',):15
('squealing',):3
('familiar',):10
('steeeeeeeeeeeephen',):1
('wavering',):1
('line',):52
('walk',):63
('tonight',):22
('mine',):48
('eat',):41
('salt',):22
('ask',):52
('measured',):5
('unkind',):1
('able',):10
('master',):75
('masters',):10
('italian',):18
('crazy',):5
('queen',):44
('jealous',):6
('odd',):18
('jobs',):3
('imperial',):6
('british',):15
('holy',):54
('roman',):23
('catholic',):13
('apostolic',):3
('church',):53
('detached',):6
('fibres',):1
('tobacco',):3
('calmly',):8
('irishman',):9
('daresay',):8
('feel',):98
('england',):20
('treated',):5
('unfairly',):1
('history',):26
('blame',):12
('proud',):18
('potent',):5
('titles',):5
('clanged',):2
('triumph',):5
('bells',):16
('_et',):6
('unam',):1
('sanctam',):1
('catholicam',):1
('apostolicam',):1
('ecclesiam',):1
('growth',):9
('change',):50
('rite',):7
('dogma',):2
('rare',):12
('thoughts',):21
('chemistry',):1
('stars',):29
('apostles',):3
('pope',):10
('marcellus',):1
('blended',):2
('affirmation',):4
('vigilant',):4
('angel',):9
('militant',):1
('disarmed',):2
('menaced',):1
('heresiarchs',):1
('horde',):3
('heresies',):1
('fleeing',):2
('mitres',):2
('awry',):6
('photius',):2
('mockers',):2
('arius',):3
('warring',):2
('life',):183
('consubstantiality',):2
('valentine',):4
('spurning',):1
('christ',):28
('terrene',):1
('subtle',):2
('african',):6
('heresiarch',):3
('sabellius',):2
('since',):47
('stranger',):14
('idle',):7
('void',):9
('awaits',):2
('surely',):11
('weave',):7
('menace',):4
('disarming',):1
